DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL, Size
COLOR,#a50026
FIELD_SHAPES,6
FIELD_LABELS,f1
DATA
AT2G20850.1, 1
AT1G78980.1, 1
AT3G13065.1, -1
AT3G14350.1, 1
AT1G53730.2, 1
AT4G22130.1, -1
AT5G06820.1, 1
AT1G79620.5, 1
AT5G49770.1, 1
AT5G49780.2, 1
AT5G49760.1, -1
AT5G45800.1, -1
AT1G56145.2, -1
AT1G56120.1, 1
AT1G56130.2, 1
AT1G56140.1, 1
AT1G29750.2, 1
AT1G29720.1, 1
AT1G29730.2, 1
AT1G29740.1, 1
AT1G53430.1, 1
AT1G53440.1, 1
AT1G07650.2, 1
AT3G14840.2, -1
AT1G53420.1, 1
AT3G01840.1, 1
AT5G24010.1, -1
AT2G23200.1, 1
AT3G51550.1, -1
AT3G04690.1, 1
AT5G28680.1, 1
AT5G39030.1, 1
AT5G39020.1, -1
AT5G38990.1, -1
AT5G39000.1, -1
AT1G69910.1, 1
AT2G39360.1, -1
AT3G46290.1, 1
AT5G59700.1, -1
AT5G54380.1, 1
AT5G61350.1, -1
AT1G34300.1, 1
AT1G15530.1, 1
AT1G49730.1, 1
AT3G19300.1, 1
AT5G06740.1, 1
AT4G23310.1, 1
AT2G20300.1, 1
AT1G52290.1, 1
AT5G48740.1, 1
AT1G70250.1, 1
AT2G40270.1, -1
AT3G56050.1, -1
AT5G58540.1, -1
AT3G24540.1, -1
AT5G56890.1, 1
AT1G26150.1, -1
AT1G68690.1, 1
AT3G24550.1, 1
AT5G38560.1, 1
AT1G70460.1, 1
AT1G23540.1, 1
AT4G34440.1, 1
AT2G18470.1, 1
AT1G10620.1, 1
AT3G18810.1, 1
AT1G49270.1, 1
AT1G66880.1, 1
AT1G70520.1, 1
AT5G38280.1, 1
AT4G23230.1, 1
AT1G51940.1, 1
AT4G23320.1, -1
AT4G23250.1, 1
AT5G59270.1, -1
AT4G23200.1, 1
AT3G21630.1, 1
AT2G23770.1, 1
AT2G33580.1, 1
AT3G59420.1, -1
AT4G00970.1, 1
AT4G23130.2, 1
AT4G23140.2, 1
AT4G23180.1, 1
AT4G23150.1, 1
AT4G23280.1, 1
AT4G23270.1, 1
AT4G23160.1, -1
AT4G21400.1, 1
AT4G21410.1, 1
AT4G23190.1, 1
AT4G11490.1, 1
AT4G23220.1, 1
AT4G11480.1, 1
AT4G23300.1, 1
AT4G23210.1, 1
AT4G23260.1, 1
AT4G11460.1, 1
AT4G11530.1, 1
AT4G11470.1, 1
AT4G04500.1, -1
AT4G04510.1, 1
AT4G04540.1, 1
AT4G04570.1, 1
AT4G04490.1, 1
AT4G38830.1, 1
AT4G05200.1, 1
AT3G45860.1, 1
AT4G28670.1, 1
AT1G70530.1, 1
AT5G40380.1, 1
AT4G21230.1, 1
