DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ECD Class
AT1G07390.3	#5aae61
AT3G53240.2	#5aae61
AT1G58190.2	#5aae61
AT1G74170.2	#5aae61
AT1G74190.1	#5aae61
AT2G25470.3	#5aae61
AT5G49290.2	#5aae61
AT1G74180.1	#5aae61
AT3G56100.1	#a6dba0
AT3G51740.1	#a6dba0
AT4G04220.1	#5aae61
AT4G13920.1	#5aae61
AT4G13880.1	#5aae61
AT4G13810.2	#5aae61
AT4G13900.1	#5aae61
AT5G40170.1	#5aae61
AT2G33080.1	#5aae61
AT3G24900.2	#5aae61
AT3G25010.2	#5aae61
AT3G24982.1	#5aae61
AT3G25020.1	#5aae61
AT2G32680.1	#5aae61
AT2G33020.1	#5aae61
AT2G33060.1	#5aae61
AT2G33050.1	#5aae61
AT2G25440.1	#5aae61
AT2G32660.2	#5aae61
AT1G71400.1	#5aae61
AT1G71390.2	#5aae61
AT3G05360.1	#5aae61
AT3G05370.1	#5aae61
AT3G23010.1	#5aae61
AT3G23110.1	#5aae61
AT3G23120.1	#5aae61
AT1G47890.1	#5aae61
AT1G45616.1	#5aae61
AT5G25910.1	#5aae61
AT2G15080.2	#5aae61
AT3G05660.1	#5aae61
AT3G05650.1	#5aae61
AT3G11080.2	#5aae61
AT3G11010.2	#5aae61
AT5G27060.2	#5aae61
AT3G28890.2	#5aae61
AT5G53320.1	#a6dba0
AT4G39400.1	#a6dba0
AT3G47580.1	#a6dba0
AT5G25930.1	#a6dba0
AT3G24660.1	#a6dba0
AT3G19700.1	#a6dba0
AT1G09970.2	#a6dba0
AT1G74360.1	#a6dba0
AT2G42800.1	#5aae61
AT1G80080.1	#5aae61
AT2G16250.1	#a6dba0
AT4G39270.1	#a6dba0
AT5G24080.1	#9970ab
AT5G63410.1	#a6dba0
AT5G14210.2	#a6dba0
AT3G03770.3	#a6dba0
AT2G02780.1	#a6dba0
AT1G14390.1	#a6dba0
AT3G23750.1	#a6dba0
AT1G24650.1	#a6dba0
AT2G01820.1	#a6dba0
AT1G66150.1	#a6dba0
AT2G31880.1	#a6dba0
AT1G69270.1	#a6dba0
AT5G07150.1	#a6dba0
AT4G18640.1	#a6dba0
AT5G45840.1	#a6dba0
AT5G41180.1	#a6dba0
AT1G63430.2	#a6dba0
AT1G34290.1	#5aae61
AT2G01950.1	#a6dba0
AT1G55610.2	#a6dba0
AT3G13380.1	#a6dba0
AT3G28450.1	#a6dba0
AT1G27190.1	#a6dba0
AT1G69990.1	#a6dba0
AT5G48380.1	#a6dba0
AT4G22730.1	#a6dba0
AT2G45340.1	#a6dba0
AT5G51560.1	#a6dba0
AT1G65380.1	#5aae61
AT5G65830.1	#5aae61
AT3G49750.1	#5aae61
AT2G15300.1	#a6dba0
AT4G34220.1	#a6dba0
AT5G67280.1	#a6dba0
AT2G23300.1	#a6dba0
AT4G37250.1	#a6dba0
AT5G24100.1	#a6dba0
AT1G64210.1	#a6dba0
AT4G23740.2	#a6dba0
AT3G08680.2	#a6dba0
AT5G05160.1	#a6dba0
AT5G58300.3	#a6dba0
AT2G26730.1	#a6dba0
AT1G48480.1	#a6dba0
AT3G17840.1	#a6dba0
AT3G02880.1	#a6dba0
AT5G16590.1	#a6dba0
AT2G35620.4	#a6dba0
AT1G31420.3	#a6dba0
AT3G47570.1	#a6dba0
AT3G47090.1	#a6dba0
AT3G47110.1	#a6dba0
AT5G20480.2	#a6dba0
AT5G62710.1	#a6dba0
AT3G42880.1	#a6dba0
AT5G20690.1	#a6dba0
AT1G72460.1	#a6dba0
AT4G31250.1	#a6dba0
AT2G07040.1	#a6dba0
AT5G35390.1	#a6dba0
AT3G20190.1	#a6dba0
AT1G50610.1	#a6dba0
AT5G43020.1	#a6dba0
AT5G67200.1	#a6dba0
AT3G50230.2	#a6dba0
AT1G68400.1	#a6dba0
AT1G10850.1	#a6dba0
AT1G60630.1	#a6dba0
AT2G42290.1	#a6dba0
AT3G57830.3	#a6dba0
AT1G75640.1	#a6dba0
AT4G36180.1	#a6dba0
AT5G39390.1	#a6dba0
AT2G36570.1	#a6dba0
AT1G11130.1	#a6dba0
AT4G03390.1	#a6dba0
AT2G20850.1	#a6dba0
AT1G78980.1	#a6dba0
AT3G13065.1	#a6dba0
AT3G14350.1	#a6dba0
AT1G53730.2	#a6dba0
AT4G22130.1	#a6dba0
AT5G06820.1	#a6dba0
AT1G79620.5	#a6dba0
AT5G49770.1	#a6dba0
AT5G49780.2	#a6dba0
AT5G49760.1	#a6dba0
AT5G45800.1	#a6dba0
AT1G56145.2	#a6dba0
AT1G56120.1	#a6dba0
AT1G56130.2	#a6dba0
AT1G56140.1	#a6dba0
AT1G29750.2	#a6dba0
AT1G29720.1	#a6dba0
AT1G29730.2	#a6dba0
AT1G29740.1	#a6dba0
AT1G53430.1	#a6dba0
AT1G53440.1	#a6dba0
AT1G07650.2	#a6dba0
AT3G14840.2	#a6dba0
AT1G53420.1	#a6dba0
AT3G01840.1	#00441b
AT5G24010.1	#40004b
AT2G23200.1	#40004b
AT3G51550.1	#40004b
AT3G04690.1	#40004b
AT5G28680.1	#40004b
AT5G39030.1	#d9d9d9
AT5G39020.1	#d9d9d9
AT5G38990.1	#40004b
AT5G39000.1	#40004b
AT1G69910.1	#762a83
AT2G39360.1	#40004b
AT3G46290.1	#40004b
AT5G59700.1	#40004b
AT5G54380.1	#40004b
AT5G61350.1	#40004b
AT1G34300.1	#9970ab
AT1G15530.1	#e7d4e8
AT1G49730.1	#d9d9d9
AT3G19300.1	#d9d9d9
AT5G06740.1	#e7d4e8
AT4G23310.1	#1b7837
AT2G20300.1	#d9d9d9
AT1G52290.1	#c2a5cf
AT5G48740.1	#a6dba0
AT1G70250.1	#d9d9d9
AT2G40270.1	#a6dba0
AT3G56050.1	#a6dba0
AT5G58540.1	#a6dba0
AT3G24540.1	#c2a5cf
AT5G56890.1	#d9d9d9
AT1G26150.1	#c2a5cf
AT1G68690.1	#c2a5cf
AT3G24550.1	#c2a5cf
AT5G38560.1	#c2a5cf
AT1G70460.1	#c2a5cf
AT1G23540.1	#c2a5cf
AT4G34440.1	#c2a5cf
AT2G18470.1	#c2a5cf
AT1G10620.1	#c2a5cf
AT3G18810.1	#c2a5cf
AT1G49270.1	#c2a5cf
AT1G66880.1	#762a83
AT1G70520.1	#1b7837
AT5G38280.1	#d9d9d9
AT4G23230.1	#1b7837
AT1G51940.1	#00441b
AT4G23320.1	#1b7837
AT4G23250.1	#1b7837
AT5G59270.1	#e7d4e8
AT4G23200.1	#1b7837
AT3G21630.1	#00441b
AT2G23770.1	#00441b
AT2G33580.1	#00441b
AT3G59420.1	#d9d9d9
AT4G00970.1	#1b7837
AT4G23130.2	#1b7837
AT4G23140.2	#1b7837
AT4G23180.1	#1b7837
AT4G23150.1	#1b7837
AT4G23280.1	#1b7837
AT4G23270.1	#1b7837
AT4G23160.1	#1b7837
AT4G21400.1	#1b7837
AT4G21410.1	#1b7837
AT4G23190.1	#1b7837
AT4G11490.1	#1b7837
AT4G23220.1	#1b7837
AT4G11480.1	#1b7837
AT4G23300.1	#1b7837
AT4G23210.1	#1b7837
AT4G23260.1	#1b7837
AT4G11460.1	#1b7837
AT4G11530.1	#1b7837
AT4G11470.1	#1b7837
AT4G04500.1	#1b7837
AT4G04510.1	#1b7837
AT4G04540.1	#1b7837
AT4G04570.1	#1b7837
AT4G04490.1	#1b7837
AT4G38830.1	#1b7837
AT4G05200.1	#1b7837
AT3G45860.1	#1b7837
AT4G28670.1	#1b7837
AT1G70530.1	#1b7837
AT5G40380.1	#1b7837
AT4G21230.1	#1b7837
