Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[ecotype],Characteristics[growth condition],Characteristics[age],Unit[time unit],Characteristics[developmental stage],Characteristics[organism part],Characteristics[genotype],Characteristics[stimulus],Comment[replicate],Material Type,Protocol REF,Performer,Protocol REF,Performer,Protocol REF,Performer,Protocol REF,Performer,Protocol REF,Performer,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Protocol REF,Performer,Assay Name,Comment[technical replicate group],Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Protocol REF,Performer,Protocol REF,Derived Array Data File,Comment [Derived ArrayExpress FTP file],Factor Value[genotype],Factor Value[compound],Factor Value[dose],Unit[dose unit],Factor Value[time],Unit[time unit]
R1_Col_3-OH-FA_030,ERS5229322,SAMEA7471626,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_030,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-2_Col_3-OH-FA_030,group 4,sequencing assay,ERX4623688,R1-2_Col_3-OH-FA_030.fq.gz,R1-2_Col_3-OH-FA_030.fq.gz,ERR4702700,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/000/ERR4702700/ERR4702700.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,30,minute
R1_Col_3-OH-FA_030,ERS5229322,SAMEA7471626,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_030,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-3_Col_3-OH-FA_030,group 4,sequencing assay,ERX4623688,R1-3_Col_3-OH-FA_030.fq.gz,R1-3_Col_3-OH-FA_030.fq.gz,ERR4702701,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/001/ERR4702701/ERR4702701.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,30,minute
R1_Col_3-OH-FA_090,ERS5229323,SAMEA7471627,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_090,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-1_Col_3-OH-FA_090,group 5,sequencing assay,ERX4623689,R1-1_Col_3-OH-FA_090.fq.gz,R1-1_Col_3-OH-FA_090.fq.gz,ERR4702702,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/002/ERR4702702/ERR4702702.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,90,minute
R1_Col_3-OH-FA_090,ERS5229323,SAMEA7471627,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_090,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-2_Col_3-OH-FA_090,group 5,sequencing assay,ERX4623689,R1-2_Col_3-OH-FA_090.fq.gz,R1-2_Col_3-OH-FA_090.fq.gz,ERR4702703,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/003/ERR4702703/ERR4702703.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,90,minute
R1_Col_3-OH-FA_090,ERS5229323,SAMEA7471627,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_090,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-3_Col_3-OH-FA_090,group 5,sequencing assay,ERX4623689,R1-3_Col_3-OH-FA_090.fq.gz,R1-3_Col_3-OH-FA_090.fq.gz,ERR4702704,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/004/ERR4702704/ERR4702704.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,90,minute
R1_Col_3-OH-FA_180,ERS5229324,SAMEA7471628,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_180,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-1_Col_3-OH-FA_180,group 6,sequencing assay,ERX4623690,R1-1_Col_3-OH-FA_180.fq.gz,R1-1_Col_3-OH-FA_180.fq.gz,ERR4702705,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/005/ERR4702705/ERR4702705.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,180,minute
R1_Col_3-OH-FA_180,ERS5229324,SAMEA7471628,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_180,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-2_Col_3-OH-FA_180,group 6,sequencing assay,ERX4623690,R1-2_Col_3-OH-FA_180.fq.gz,R1-2_Col_3-OH-FA_180.fq.gz,ERR4702706,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/006/ERR4702706/ERR4702706.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,180,minute
R1_Col_3-OH-FA_180,ERS5229324,SAMEA7471628,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_180,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-3_Col_3-OH-FA_180,group 6,sequencing assay,ERX4623690,R1-3_Col_3-OH-FA_180.fq.gz,R1-3_Col_3-OH-FA_180.fq.gz,ERR4702707,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/007/ERR4702707/ERR4702707.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,180,minute
R2_Col_3-OH-FA_000,ERS5229325,SAMEA7471629,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,2,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R2_Col_3-OH-FA_000,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R2-1_Col_3-OH-FA_000,group 7,sequencing assay,ERX4623691,R2-1_Col_3-OH-FA_000.fq.gz,R2-1_Col_3-OH-FA_000.fq.gz,ERR4702708,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/008/ERR4702708/ERR4702708.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,0,minute
R2_Col_3-OH-FA_000,ERS5229325,SAMEA7471629,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,2,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R2_Col_3-OH-FA_000,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R2-2_Col_3-OH-FA_000,group 7,sequencing assay,ERX4623691,R2-2_Col_3-OH-FA_000.fq.gz,R2-2_Col_3-OH-FA_000.fq.gz,ERR4702709,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/009/ERR4702709/ERR4702709.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,0,minute
R2_Col_3-OH-FA_005,ERS5229326,SAMEA7471630,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,2,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R2_Col_3-OH-FA_005,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R2-1_Col_3-OH-FA_005,group 8,sequencing assay,ERX4623692,R2-1_Col_3-OH-FA_005.fq.gz,R2-1_Col_3-OH-FA_005.fq.gz,ERR4702710,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/000/ERR4702710/ERR4702710.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,5,minute
R2_Col_3-OH-FA_005,ERS5229326,SAMEA7471630,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,2,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R2_Col_3-OH-FA_005,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R2-2_Col_3-OH-FA_005,group 8,sequencing assay,ERX4623692,R2-2_Col_3-OH-FA_005.fq.gz,R2-2_Col_3-OH-FA_005.fq.gz,ERR4702711,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/001/ERR4702711/ERR4702711.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,5,minute
R2_Col_3-OH-FA_010,ERS5229327,SAMEA7471631,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,2,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R2_Col_3-OH-FA_010,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R2-1_Col_3-OH-FA_010,group 9,sequencing assay,ERX4623693,R2-1_Col_3-OH-FA_010.fq.gz,R2-1_Col_3-OH-FA_010.fq.gz,ERR4702712,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/002/ERR4702712/ERR4702712.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,10,minute
