Gene,Batch_Symbol
AT5G20480,EFR
AT5G39390,#N/A
AT5G46330,#N/A
AT1G35710,AT1G35710
AT4G08850,AT4G08850
AT1G31420,FEI1
AT1G78530,#N/A
AT2G35620,FEI2
AT5G62710,#N/A
AT2G26330,ERECTA
AT5G07180,ERL2
AT5G62230,ERL1
AT2G16250,AT2G16250
AT4G39270,AT4G39270
AT5G51350,AT5G51350
AT1G69270,#N/A
AT3G02130,RPK2
AT5G25930,AT5G25930
AT1G51940,LYK3
AT3G21630,#N/A
AT2G23770,LYK4
AT2G33580,LYK5
AT2G31880,SOBIR1/EVERSHED
AT2G46850,AT2G46850
AT3G01840,LYK2
AT3G57120,#N/A
AT5G06940,AT5G06940
AT5G13290,#N/A
AT1G10620,PERK11
AT1G23540,PERK12
AT1G26150,PERK10
AT1G49270,PERK7
AT1G52290,PERK15
AT1G55200,#N/A
AT1G68690,PERK9
AT1G70450,#N/A
AT1G70460,PERK13
AT2G18470,PERK4
AT3G13690,#N/A
AT3G18810,PERK6
AT3G24400,#N/A
AT3G24540,#N/A
AT3G24550,PERK1
AT4G32710,#N/A
AT4G34440,PERK5
AT5G38560,PERK8
AT5G56790,#N/A
AT1G11050,AT1G11050
AT2G48010,AT2G48010
AT1G11300,AT1G11300
AT1G11330,AT1G11330
AT1G11340,AT1G11340
AT1G11350,CBRLK1
AT1G11410,AT1G11410
AT1G61610,AT1G61610
AT1G65790,ARK1
AT1G65800,ARK2
AT4G03230,AT4G03230
AT4G21370,#N/A
AT4G21380,ARK3
AT4G21390,B120
AT4G27290,#N/A
AT4G27300,AT4G27300
AT1G11280,#N/A
AT1G61360,AT1G61360
AT1G61370,AT1G61370
AT1G61380,SD1-29
AT1G61390,AT1G61390
AT1G61400,AT1G61400
AT1G61420,AT1G61420
AT1G61430,AT1G61430
AT1G61440,AT1G61440
AT1G61460,AT1G61460
AT1G61480,AT1G61480
AT1G61490,AT1G61490
AT1G61500,AT1G61500
AT1G61550,AT1G61550
AT1G67520,#N/A
AT3G16030,CES101
AT4G11900,AT4G11900
AT1G34300,AT1G34300
AT2G19130,AT2G19130
AT4G00340,RLK4
AT4G32300,SD2-5
AT5G24080,#N/A
AT5G35370,AT5G35370
AT5G60900,RKL1
AT2G41890,#N/A
AT1G49730,AT1G49730
AT3G19300,AT3G19300
AT1G16110,WAKL6
AT1G16120,WAKL1
AT1G16130,WAKL2
AT1G16140,#N/A
AT1G16150,WAKL4
AT1G16160,WAKL5
AT1G16260,AT1G16260
AT1G17910,AT1G17910
AT1G19390,AT1G19390
AT1G21210,WAK4
AT1G21230,WAK5
AT1G21240,WAK3
AT1G21250,WAK1
AT1G21270,WAK2
AT1G69730,AT1G69730
AT1G79670,RFO1
AT1G79680,WAKL10
AT3G25490,#N/A
AT3G53840,#N/A
AT4G31100,AT4G31100
AT4G31110,AT4G31110
AT5G02070,#N/A
AT1G18390,AT1G18390
AT1G25390,AT1G25390
AT1G66880,AT1G66880
AT1G69910,AT1G69910
AT2G23450,#N/A
AT5G38210,AT5G38210
AT5G66790,#N/A
AT1G07390,#N/A
AT1G17240,RLP2
AT1G17250,RLP3
AT1G45616,RLP6
AT1G47890,#N/A
AT1G54470,#N/A
AT1G58190,RLP9
AT1G65380,RLP10/CLV2
AT1G71390,RLP12
AT1G71400,RLP11
AT1G74170,#N/A
AT1G74180,RLP14/TMM
AT1G74190,#N/A
AT2G15080,RLP19
AT2G25440,RLP20
AT2G25470,#N/A
AT2G32660,RLP22
AT2G32680,RLP23
AT2G33020,#N/A
AT2G33050,RLP26
AT2G33060,RLP27
AT2G33080,RLP28
AT3G05360,RLP30
AT3G05370,RLP31
AT3G05650,RLP32
AT3G05660,RLP33
AT3G11010,RLP34
AT3G11080,RLP35
AT3G23010,RLP36
AT3G23110,RLP37
AT3G23120,RLP38
AT3G24900,#N/A
AT3G24982,RLP40
AT3G25010,RLP41
AT3G25020,RLP42
AT3G28890,#N/A
AT3G53240,RLP45
AT4G04220,RLP46
AT4G13810,#N/A
AT4G13880,#N/A
AT4G13920,RLP50
AT5G25910,#N/A
AT5G27060,RLP53
AT5G40170,#N/A
AT5G49290,#N/A
AT1G07650,LMK1
AT1G10850,AT1G10850
AT1G11130,SRF9
AT1G28340,RLP4
AT1G34290,RLP5
AT1G51805,AT1G51805
AT1G56145,AT1G56145
AT1G80080,RLP17 
AT2G41140,CRK1
AT2G42800,RLP29
AT3G49750,RLP44
AT4G13900,RLP49
AT4G18760,RLP51
AT4G23230,CRK15
AT5G65830,RLP57
