Tree_order,Gene,Protein,Type
221,AT5G61480,AT5G61480.1,RLK
222,AT5G06940,AT5G06940.1,RLK
223,AT1G72180,AT1G72180.1,RLK
224,AT5G65710,AT5G65710.1,RLK
225,AT1G28440,AT1G28440.1,RLK
226,AT4G28490,AT4G28490.1,RLK
227,AT5G49660,AT5G49660.1,RLK
228,AT4G26540,AT4G26540.1,RLK
229,AT5G07280,AT5G07280.1,RLK
230,AT2G24130,AT2G24130.2,RLK
231,AT1G67510,AT1G67510.1,RLK
232,AT1G66830,AT1G66830.1,RLK
233,AT2G01210,AT2G01210.1,RLK
234,AT1G25320,AT1G25320.1,RLK
235,AT5G46330,AT5G46330.2,RLK
236,AT4G20140,AT4G20140.1,RLK
237,AT5G44700,AT5G44700.1,RLK
238,AT2G26330,AT2G26330.1,RLK
239,AT5G62230,AT5G62230.1,RLK
240,AT5G07180,AT5G07180.1,RLK
241,AT1G34420,AT1G34420.1,RLK
242,AT2G41820,AT2G41820.1,RLK
243,AT1G62950,AT1G62950.1,RLK
244,AT1G12460,AT1G12460.1,RLK
245,AT1G07390,AT1G07390.3,RLP
246,AT3G53240,AT3G53240.2,RLP
247,AT1G58190,AT1G58190.2,RLP
248,AT1G74170,AT1G74170.2,RLP
249,AT1G74190,AT1G74190.1,RLP
250,AT2G25470,AT2G25470.3,RLP
251,AT5G49290,AT5G49290.2,RLP
252,AT1G74180,AT1G74180.1,RLP
253,AT3G56100,AT3G56100.1,RLK
254,AT3G51740,AT3G51740.1,RLK
255,AT4G04220,AT4G04220.1,RLP
256,AT4G13920,AT4G13920.1,RLP
257,AT4G13880,AT4G13880.1,RLP
258,AT4G13810,AT4G13810.2,RLP
259,AT4G13900,AT4G13900.1,RLP
260,AT5G40170,AT5G40170.1,RLP
261,AT2G33080,AT2G33080.1,RLP
262,AT3G24900,AT3G24900.2,RLP
263,AT3G25010,AT3G25010.2,RLP
264,AT3G24982,AT3G24982.1,RLP
265,AT3G25020,AT3G25020.1,RLP
266,AT2G32680,AT2G32680.1,RLP
267,AT2G33020,AT2G33020.1,RLP
268,AT2G33060,AT2G33060.1,RLP
269,AT2G33050,AT2G33050.1,RLP
270,AT2G25440,AT2G25440.1,RLP
271,AT2G32660,AT2G32660.2,RLP
272,AT1G71400,AT1G71400.1,RLP
273,AT1G71390,AT1G71390.2,RLP
274,AT3G05360,AT3G05360.1,RLP
275,AT3G05370,AT3G05370.1,RLP
276,AT3G23010,AT3G23010.1,RLP
277,AT3G23110,AT3G23110.1,RLP
278,AT3G23120,AT3G23120.1,RLP
279,AT1G47890,AT1G47890.1,RLP
280,AT1G45616,AT1G45616.1,RLP
281,AT5G25910,AT5G25910.1,RLP
282,AT2G15080,AT2G15080.2,RLP
283,AT3G05660,AT3G05660.1,RLP
284,AT3G05650,AT3G05650.1,RLP
285,AT3G11080,AT3G11080.2,RLP
286,AT3G11010,AT3G11010.2,RLP
287,AT5G27060,AT5G27060.2,RLP
288,AT3G28890,AT3G28890.2,RLP
289,AT5G53320,AT5G53320.1,RLK
290,AT4G39400,AT4G39400.1,RLK
291,AT3G47580,AT3G47580.1,RLK
292,AT5G25930,AT5G25930.1,RLK
293,AT3G24660,AT3G24660.1,RLK
294,AT3G19700,AT3G19700.1,RLK
295,AT1G09970,AT1G09970.2,RLK
296,AT1G74360,AT1G74360.1,RLK
297,AT2G42800,AT2G42800.1,RLP
298,AT1G80080,AT1G80080.1,RLP
299,AT2G16250,AT2G16250.1,RLK
300,AT4G39270,AT4G39270.1,RLK
301,AT5G24080,AT5G24080.1,RLK
302,AT5G63410,AT5G63410.1,RLK
303,AT5G14210,AT5G14210.2,RLK
304,AT3G03770,AT3G03770.3,RLK
305,AT2G02780,AT2G02780.1,RLK
306,AT1G14390,AT1G14390.1,RLK
307,AT3G23750,AT3G23750.1,RLK
308,AT1G24650,AT1G24650.1,RLK
309,AT2G01820,AT2G01820.1,RLK
310,AT1G66150,AT1G66150.1,RLK
311,AT2G31880,AT2G31880.1,RLK
312,AT1G69270,AT1G69270.1,RLK
313,AT5G07150,AT5G07150.1,RLK
314,AT4G18640,AT4G18640.1,RLK
315,AT5G45840,AT5G45840.1,RLK
316,AT5G41180,AT5G41180.1,RLK
317,AT1G63430,AT1G63430.2,RLK
318,AT1G34290,AT1G34290.1,RLP
319,AT2G01950,AT2G01950.1,RLK
320,AT1G55610,AT1G55610.2,RLK
321,AT3G13380,AT3G13380.1,RLK
322,AT3G28450,AT3G28450.1,RLK
323,AT1G27190,AT1G27190.1,RLK
324,AT1G69990,AT1G69990.1,RLK
325,AT5G48380,AT5G48380.1,RLK
326,AT4G22730,AT4G22730.1,RLK
327,AT2G45340,AT2G45340.1,RLK
328,AT5G51560,AT5G51560.1,RLK
329,AT1G65380,AT1G65380.1,RLP
330,AT5G65830,AT5G65830.1,RLP
331,AT3G49750,AT3G49750.1,RLP
332,AT2G15300,AT2G15300.1,RLK
333,AT4G34220,AT4G34220.1,RLK
334,AT5G67280,AT5G67280.1,RLK
335,AT2G23300,AT2G23300.1,RLK
336,AT4G37250,AT4G37250.1,RLK
337,AT5G24100,AT5G24100.1,RLK
338,AT1G64210,AT1G64210.1,RLK
339,AT4G23740,AT4G23740.2,RLK
340,AT3G08680,AT3G08680.2,RLK
341,AT5G05160,AT5G05160.1,RLK
342,AT5G58300,AT5G58300.3,RLK
343,AT2G26730,AT2G26730.1,RLK
344,AT1G48480,AT1G48480.1,RLK
345,AT3G17840,AT3G17840.1,RLK
346,AT3G02880,AT3G02880.1,RLK
347,AT5G16590,AT5G16590.1,RLK
348,AT2G35620,AT2G35620.4,RLK
349,AT1G31420,AT1G31420.3,RLK
350,AT3G47570,AT3G47570.1,RLK
351,AT3G47090,AT3G47090.1,RLK
352,AT3G47110,AT3G47110.1,RLK
353,AT5G20480,AT5G20480.2,RLK
354,AT5G62710,AT5G62710.1,RLK
355,AT3G42880,AT3G42880.1,RLK
356,AT5G20690,AT5G20690.1,RLK
357,AT1G72460,AT1G72460.1,RLK
358,AT4G31250,AT4G31250.1,RLK
359,AT2G07040,AT2G07040.1,RLK
360,AT5G35390,AT5G35390.1,RLK
361,AT3G20190,AT3G20190.1,RLK
362,AT1G50610,AT1G50610.1,RLK
363,AT5G43020,AT5G43020.1,RLK
364,AT5G67200,AT5G67200.1,RLK
365,AT3G50230,AT3G50230.2,RLK
366,AT1G68400,AT1G68400.1,RLK
367,AT1G10850,AT1G10850.1,RLK
368,AT1G60630,AT1G60630.1,RLK
369,AT2G42290,AT2G42290.1,RLK
370,AT3G57830,AT3G57830.3,RLK
371,AT1G75640,AT1G75640.1,RLK
372,AT4G36180,AT4G36180.1,RLK
373,AT5G39390,AT5G39390.1,RLK
374,AT2G36570,AT2G36570.1,RLK
375,AT1G11130,AT1G11130.1,RLK
376,AT4G03390,AT4G03390.1,RLK
377,AT2G20850,AT2G20850.1,RLK
378,AT1G78980,AT1G78980.1,RLK
379,AT3G13065,AT3G13065.1,RLK
380,AT3G14350,AT3G14350.1,RLK
381,AT1G53730,AT1G53730.2,RLK
382,AT4G22130,AT4G22130.1,RLK
383,AT5G06820,AT5G06820.1,RLK
384,AT1G79620,AT1G79620.5,RLK
385,AT5G49770,AT5G49770.1,RLK
386,AT5G49780,AT5G49780.2,RLK
387,AT5G49760,AT5G49760.1,RLK
388,AT5G45800,AT5G45800.1,RLK
389,AT1G56145,AT1G56145.2,RLK
390,AT1G56120,AT1G56120.1,RLK
391,AT1G56130,AT1G56130.2,RLK
392,AT1G56140,AT1G56140.1,RLK
393,AT1G29750,AT1G29750.2,RLK
394,AT1G29720,AT1G29720.1,RLK
395,AT1G29730,AT1G29730.2,RLK
396,AT1G29740,AT1G29740.1,RLK
397,AT1G53430,AT1G53430.1,RLK
398,AT1G53440,AT1G53440.1,RLK
399,AT1G07650,AT1G07650.2,RLK
400,AT3G14840,AT3G14840.2,RLK
401,AT1G53420,AT1G53420.1,RLK
402,AT3G01840,AT3G01840.1,RLK
403,AT5G24010,AT5G24010.1,RLK
404,AT2G23200,AT2G23200.1,RLK
405,AT3G51550,AT3G51550.1,RLK
406,AT3G04690,AT3G04690.1,RLK
407,AT5G28680,AT5G28680.1,RLK
408,AT5G39030,AT5G39030.1,RLK
409,AT5G39020,AT5G39020.1,RLK
410,AT5G38990,AT5G38990.1,RLK
411,AT5G39000,AT5G39000.1,RLK
412,AT1G69910,AT1G69910.1,RLK
413,AT2G39360,AT2G39360.1,RLK
414,AT3G46290,AT3G46290.1,RLK
415,AT5G59700,AT5G59700.1,RLK
416,AT5G54380,AT5G54380.1,RLK
417,AT5G61350,AT5G61350.1,RLK
418,AT1G34300,AT1G34300.1,RLK
419,AT1G15530,AT1G15530.1,RLK
420,AT1G49730,AT1G49730.1,RLK
421,AT3G19300,AT3G19300.1,RLK
422,AT5G06740,AT5G06740.1,RLK
423,AT4G23310,AT4G23310.1,RLK
424,AT2G20300,AT2G20300.1,RLK
425,AT1G52290,AT1G52290.1,RLK
426,AT5G48740,AT5G48740.1,RLK
427,AT1G70250,AT1G70250.1,RLK
428,AT2G40270,AT2G40270.1,RLK
429,AT3G56050,AT3G56050.1,RLK
430,AT5G58540,AT5G58540.1,RLK
431,AT3G24540,AT3G24540.1,RLK
432,AT5G56890,AT5G56890.1,RLK
433,AT1G26150,AT1G26150.1,RLK
434,AT1G68690,AT1G68690.1,RLK
435,AT3G24550,AT3G24550.1,RLK
436,AT5G38560,AT5G38560.1,RLK
437,AT1G70460,AT1G70460.1,RLK
438,AT1G23540,AT1G23540.1,RLK
439,AT4G34440,AT4G34440.1,RLK
440,AT2G18470,AT2G18470.1,RLK
441,AT1G10620,AT1G10620.1,RLK
442,AT3G18810,AT3G18810.1,RLK
443,AT1G49270,AT1G49270.1,RLK
444,AT1G66880,AT1G66880.1,RLK
445,AT1G70520,AT1G70520.1,RLK
446,AT5G38280,AT5G38280.1,RLK
447,AT4G23230,AT4G23230.1,RLK
448,AT1G51940,AT1G51940.1,RLK
449,AT4G23320,AT4G23320.1,RLK
450,AT4G23250,AT4G23250.1,RLK
451,AT5G59270,AT5G59270.1,RLK
452,AT4G23200,AT4G23200.1,RLK
453,AT3G21630,AT3G21630.1,RLK
454,AT2G23770,AT2G23770.1,RLK
455,AT2G33580,AT2G33580.1,RLK
456,AT3G59420,AT3G59420.1,RLK
457,AT4G00970,AT4G00970.1,RLK
458,AT4G23130,AT4G23130.2,RLK
459,AT4G23140,AT4G23140.2,RLK
460,AT4G23180,AT4G23180.1,RLK
461,AT4G23150,AT4G23150.1,RLK
462,AT4G23280,AT4G23280.1,RLK
463,AT4G23270,AT4G23270.1,RLK
464,AT4G23160,AT4G23160.1,RLK
465,AT4G21400,AT4G21400.1,RLK
466,AT4G21410,AT4G21410.1,RLK
467,AT4G23190,AT4G23190.1,RLK
468,AT4G11490,AT4G11490.1,RLK
469,AT4G23220,AT4G23220.1,RLK
470,AT4G11480,AT4G11480.1,RLK
471,AT4G23300,AT4G23300.1,RLK
472,AT4G23210,AT4G23210.1,RLK
473,AT4G23260,AT4G23260.1,RLK
474,AT4G11460,AT4G11460.1,RLK
475,AT4G11530,AT4G11530.1,RLK
476,AT4G11470,AT4G11470.1,RLK
477,AT4G04500,AT4G04500.1,RLK
478,AT4G04510,AT4G04510.1,RLK
479,AT4G04540,AT4G04540.1,RLK
480,AT4G04570,AT4G04570.1,RLK
481,AT4G04490,AT4G04490.1,RLK
482,AT4G38830,AT4G38830.1,RLK
483,AT4G05200,AT4G05200.1,RLK
484,AT3G45860,AT3G45860.1,RLK
485,AT4G28670,AT4G28670.1,RLK
486,AT1G70530,AT1G70530.1,RLK
487,AT5G40380,AT5G40380.1,RLK
488,AT4G21230,AT4G21230.1,RLK
